,,,,," 19,388,231.64 ",
Invoice Date,Supplier Name,Supplier Country,Taxable basis,Currency,Tax to pay,Runing Total
20190711,PICTET (PARTIE LUXEMBOURGEOISE D'UN GROUPE ÉTRANGER),Luxembourg,56.66,USD,19.83,19.83
20190711,PICTET (PARTIE LUXEMBOURGEOISE D'UN GROUPE ÉTRANGER),Luxembourg,578.75,USD,202.56,222.39
20190711,PICTET (PARTIE LUXEMBOURGEOISE D'UN GROUPE ÉTRANGER),Luxembourg,0.01,USD,0,222.39
20190327,GROUPE SOLUDEC,Luxembourg,7.64,USD,2.67,225.06
20190711,PICTET (PARTIE LUXEMBOURGEOISE D'UN GROUPE ÉTRANGER),Luxembourg,229.7,USD,80.39,305.45
20190331,ZITHASERVICES SA,Luxembourg,514.04,USD,179.91,485.36
20170930,ZITHASERVICES SA,Luxembourg,421.74,USD,147.61,632.97
20191231,GROUPE ARTHUR WELTER TRANSPORTS,Luxembourg,389.86,GBP,136.45,769.42
20190201,"DEUTSCHE BANK GRUPPE, LUXEMBURG",Luxembourg,171.82,EUR,60.14,829.56
20190331,LANDEWYCK GROUP,Luxembourg,711.42,EUR,249,1078.56
20180831,LANDEWYCK GROUP,Luxembourg,775.32,EUR,271.36,1349.92
20171231,LANDEWYCK GROUP,Luxembourg,796.62,EUR,278.82,1628.74
20190401,"DEUTSCHE BANK GRUPPE, LUXEMBURG",Luxembourg,217.26,EUR,76.04,1704.78
20190430,LANDEWYCK GROUP,Luxembourg,401.86,EUR,140.65,1845.43
20190630,LANDEWYCK GROUP,Luxembourg,610.6,EUR,213.71,2059.14
20170228,LANDEWYCK GROUP,Luxembourg,924.42,EUR,323.55,2382.69
20180630,LANDEWYCK GROUP,Luxembourg,460.08,EUR,161.03,2543.72
20190731,"DEUTSCHE BANK GRUPPE, LUXEMBURG",Luxembourg,536.76,EUR,187.87,2731.59
20190831,"DEUTSCHE BANK GRUPPE, LUXEMBURG",Luxembourg,198.8,EUR,69.58,2801.17
20190930,LANDEWYCK GROUP,Luxembourg,572.54,EUR,200.39,3001.56
20191129,LANDEWYCK GROUP,Luxembourg,2040.54,EUR,714.19,3715.75
20181231,CEBI LUXEMBOURG SA,Luxembourg,440.2,EUR,154.07,3869.82
20181231,CEBI LUXEMBOURG SA,Luxembourg,340.8,EUR,119.28,3989.1
20181231,CEBI LUXEMBOURG SA,Luxembourg,222.94,EUR,78.03,4067.13
20181231,CEBI LUXEMBOURG SA,Luxembourg,268.38,EUR,93.93,4161.06
20181231,CEBI LUXEMBOURG SA,Luxembourg,742.66,EUR,259.93,4420.99
20181231,CEBI LUXEMBOURG SA,Luxembourg,788.1,EUR,275.83,4696.82
20181231,CEBI LUXEMBOURG SA,Luxembourg,343.64,EUR,120.27,4817.09
20181231,CEBI LUXEMBOURG SA,Luxembourg,525.12,EUR,183.79,5000.88
20181231,CEBI LUXEMBOURG SA,Luxembourg,1479.64,EUR,517.87,5518.75
20181231,CEBI LUXEMBOURG SA,Luxembourg,414.64,EUR,145.12,5663.87
20181231,CEBI LUXEMBOURG SA,Luxembourg,139.16,EUR,48.71,5712.58
20181231,CEBI LUXEMBOURG SA,Luxembourg,550.96,EUR,192.84,5905.42
20181231,CEBI LUXEMBOURG SA,Luxembourg,238.56,EUR,83.5,5988.92
20181231,CEBI LUXEMBOURG SA,Luxembourg,1073.52,EUR,375.73,6364.65
20181231,CEBI LUXEMBOURG SA,Luxembourg,193.69,EUR,67.79,6432.44
20190131,CEBI LUXEMBOURG SA,Luxembourg,154.78,EUR,54.17,6486.61
20190131,CEBI LUXEMBOURG SA,Luxembourg,521.14,EUR,182.4,6669.01
20190131,CEBI LUXEMBOURG SA,Luxembourg,3261.74,EUR,1141.61,7810.62
20190131,CEBI LUXEMBOURG SA,Luxembourg,86.62,EUR,30.32,7840.94
20190131,CEBI LUXEMBOURG SA,Luxembourg,164.72,EUR,57.65,7898.59
20190131,CEBI LUXEMBOURG SA,Luxembourg,1050.8,EUR,367.78,8266.37
20190131,CEBI LUXEMBOURG SA,Luxembourg,1189.96,EUR,416.49,8682.86
20190131,CEBI LUXEMBOURG SA,Luxembourg,1840.32,EUR,644.11,9326.97
20190131,CEBI LUXEMBOURG SA,Luxembourg,954.24,EUR,333.98,9660.95
20190131,CEBI LUXEMBOURG SA,Luxembourg,377.72,EUR,132.2,9793.15
20190131,CEBI LUXEMBOURG SA,Luxembourg,238.56,EUR,83.5,9876.65
20190131,CEBI LUXEMBOURG SA,Luxembourg,1178.6,EUR,412.51,10289.16
20190131,CEBI LUXEMBOURG SA,Luxembourg,486.35,EUR,170.22,10459.38
20190131,CEBI LUXEMBOURG SA,Luxembourg,2171.18,EUR,759.91,11219.29
20190131,CEBI LUXEMBOURG SA,Luxembourg,2649.72,EUR,927.4,12146.69
20190131,CEBI LUXEMBOURG SA,Luxembourg,964.18,EUR,337.46,12484.15
20181001,"DEUTSCHE BANK GRUPPE, LUXEMBURG",Luxembourg,221.52,EUR,77.53,12561.68
20190131,CEBI LUXEMBOURG SA,Luxembourg,401.86,EUR,140.65,12702.33
20190131,CEBI LUXEMBOURG SA,Luxembourg,495.58,EUR,173.45,12875.78
20190131,CEBI LUXEMBOURG SA,Luxembourg,302.46,EUR,105.86,12981.64
20190131,CEBI LUXEMBOURG SA,Luxembourg,281.16,EUR,98.41,13080.05
20190131,CEBI LUXEMBOURG SA,Luxembourg,687.28,EUR,240.55,13320.6
20190131,CEBI LUXEMBOURG SA,Luxembourg,242.82,EUR,84.99,13405.59
20190131,CEBI LUXEMBOURG SA,Luxembourg,393.34,EUR,137.67,13543.26
20190131,CEBI LUXEMBOURG SA,Luxembourg,467.18,EUR,163.51,13706.77
20190131,CEBI LUXEMBOURG SA,Luxembourg,782.42,EUR,273.85,13980.62
20190131,CEBI LUXEMBOURG SA,Luxembourg,178.92,EUR,62.62,14043.24
20190131,CEBI LUXEMBOURG SA,Luxembourg,495.58,EUR,173.45,14216.69
20190131,CEBI LUXEMBOURG SA,Luxembourg,2013.56,EUR,704.75,14921.44
20190131,CEBI LUXEMBOURG SA,Luxembourg,691.54,EUR,242.04,15163.48
20190131,CEBI LUXEMBOURG SA,Luxembourg,1584.72,EUR,554.65,15718.13
20190131,CEBI LUXEMBOURG SA,Luxembourg,1113.28,EUR,389.65,16107.78
20190228,CEBI LUXEMBOURG SA,Luxembourg,1746.6,EUR,611.31,16719.09
20190228,CEBI LUXEMBOURG SA,Luxembourg,873.3,EUR,305.65,17024.74
20190228,CEBI LUXEMBOURG SA,Luxembourg,873.3,EUR,305.65,17330.39
20190228,CEBI LUXEMBOURG SA,Luxembourg,582.2,EUR,203.77,17534.16
20190228,CEBI LUXEMBOURG SA,Luxembourg,582.2,EUR,203.77,17737.93
20190228,CEBI LUXEMBOURG SA,Luxembourg,291.1,EUR,101.89,17839.82
20190228,CEBI LUXEMBOURG SA,Luxembourg,1049.38,EUR,367.28,18207.1
20190228,CEBI LUXEMBOURG SA,Luxembourg,934.36,EUR,327.03,18534.13
20190228,CEBI LUXEMBOURG SA,Luxembourg,467.18,EUR,163.51,18697.64
20190228,CEBI LUXEMBOURG SA,Luxembourg,2619.9,EUR,916.96,19614.6
20190228,CEBI LUXEMBOURG SA,Luxembourg,2619.9,EUR,916.96,20531.56
20190228,CEBI LUXEMBOURG SA,Luxembourg,873.3,EUR,305.65,20837.21
20190228,CEBI LUXEMBOURG SA,Luxembourg,582.2,EUR,203.77,21040.98
20190228,CEBI LUXEMBOURG SA,Luxembourg,2619.9,EUR,916.96,21957.94
20190228,CEBI LUXEMBOURG SA,Luxembourg,2619.9,EUR,916.96,22874.9
20190228,CEBI LUXEMBOURG SA,Luxembourg,1455.5,EUR,509.42,23384.32
20190228,CEBI LUXEMBOURG SA,Luxembourg,873.3,EUR,305.65,23689.97
20190228,CEBI LUXEMBOURG SA,Luxembourg,7277.5,EUR,2547.12,26237.09
20190228,CEBI LUXEMBOURG SA,Luxembourg,315.24,EUR,110.33,26347.42
20190228,CEBI LUXEMBOURG SA,Luxembourg,531.65,EUR,186.08,26533.5
20190228,CEBI LUXEMBOURG SA,Luxembourg,758.28,EUR,265.4,26798.9
20190228,CEBI LUXEMBOURG SA,Luxembourg,533.35,EUR,186.67,26985.57
20190228,CEBI LUXEMBOURG SA,Luxembourg,399.02,EUR,139.66,27125.23
20190228,CEBI LUXEMBOURG SA,Luxembourg,3368.24,EUR,1178.88,28304.11
20190228,CEBI LUXEMBOURG SA,Luxembourg,1823.28,EUR,638.15,28942.26
20190228,CEBI LUXEMBOURG SA,Luxembourg,2526.18,EUR,884.16,29826.42
20190228,CEBI LUXEMBOURG SA,Luxembourg,1039.44,EUR,363.8,30190.22
20190228,CEBI LUXEMBOURG SA,Luxembourg,356.42,EUR,124.75,30314.97
20190228,CEBI LUXEMBOURG SA,Luxembourg,982.64,EUR,343.92,30658.89
20190228,CEBI LUXEMBOURG SA,Luxembourg,558.06,EUR,195.32,30854.21
20190331,CEBI LUXEMBOURG SA,Luxembourg,298.2,EUR,104.37,30958.58
20190331,CEBI LUXEMBOURG SA,Luxembourg,1012.74,EUR,354.46,31313.04
20190331,CEBI LUXEMBOURG SA,Luxembourg,1036.03,EUR,362.61,31675.65
20190331,CEBI LUXEMBOURG SA,Luxembourg,347.9,EUR,121.76,31797.41
20190331,CEBI LUXEMBOURG SA,Luxembourg,1684.12,EUR,589.44,32386.85
20190331,CEBI LUXEMBOURG SA,Luxembourg,455.82,EUR,159.54,32546.39
