Account,Doc. Date,DocumentNo,Type,PK,Amount in LC,Tx,LCurr,Company,Localité
8112000006,2019-05-15,1118001100,KR,40,-65.32,V0,EUR,Scté Générale,France
8124100003,2019-01-31,1118000254,KR,40,-252.76,Y1,EUR,Crédit Suisse (Luxembourg) SA,Luxembourg
1930300000,2019-07-24,1118001626,KR,40,183.76,Y1,EUR,SES,Luxembourg
8125100000,2019-01-31,1118000350,KR,40,-458.94,Y9,,Groupe Oberweis SA,Luxembourg
8125100000,2019-03-31,1118000757,KR,40,-380.56,Y1,,Groupe Oberweis SA,Luxembourg
8125100000,2019-06-30,1118001376,KR,40,-191.70,Y1,,Groupe Oberweis SA,Luxembourg
8125100000,2019-08-31,1118002097,KR,40,-3944.76,Y1,,Groupe Oberweis SA,Luxembourg
8125100000,2019-12-31,1118003391,KR,40,-85.20,Y9,,Groupe Oberweis SA,Luxembourg
1930300000,2019-04-26,1118000955,KR,40,-231.46,Y3,,SES,Luxembourg
8124100000,2019-04-08,1118001329,KR,40,3690.51,Y0,,Bâloise Assurances Luxembourg SA,Luxembourg
8127120000,2019-12-31,1118003505,KR,40,319.22,Y1,,LUX TP SA,Luxembourg
8126100000,2018-11-13,1118000089,KR,50,"-11769,47",Y5,,Dekabank Deutsche Girozentrale Luxembourg SA,Luxembourg
1930300000,2019-02-27,1118000344,KR,40,"-415328,02",Y1,,SES,Luxembourg
1930300000,2019-02-14,1118000433,KR,40,"-423,23",Y1,,SES,Luxembourg
1930300000,2019-03-24,1118000670,KR,40,"-992,71",Y1,,SES,Luxembourg
8125100000,2019-05-15,1118000992,KR,40,"-367,5",Y1,,Groupe Oberweis SA,Luxembourg
1930300000,2019-07-17,1118001540,KR,40,"-748,94",Y1,,SES,Luxembourg
1930300000,2019-10-23,1118002837,KR,40,"884,29",Y1,,SES,Luxembourg
8125100000,2019-10-24,1118002855,KR,40,"-1287,47",Y1,,Groupe Oberweis SA,Luxembourg
8125200000,2018-12-31,1118000132,KR,40,"177,22",Y1,,Lombard International Assurance SA,Luxembourg
8125200000,2019-02-28,1118000680,KR,40,"32,19",Y1,,Lombard International Assurance SA,Luxembourg
8125200000,2009-05-31,1118001291,KR,40,"241,4",Y1,,Lombard International Assurance SA,Luxembourg
8125200000,2019-07-31,1118001690,KR,40,"204,48",Y1,,Lombard International Assurance SA,Luxembourg
8125200000,2019-10-31,1118002923,KR,40,"294,76",Y1,,Lombard International Assurance SA,Luxembourg
8112000006,2019-07-12,1118001585,KR,40,-1065.00,V0,,Scté Générale,France
8124100000,2019-02-21,1118000363,KR,40,"544,43",Y0,,Bâloise Assurances Luxembourg SA,Luxembourg
8123200000,2019-04-15,1118000957,KR,40,"-572,26",Y1,EUR,Baatz Constructions Exploitation SARL,LU
8123200000,2019-07-15,1118001581,KR,40,"204,48",Y1,EUR,Baatz Constructions Exploitation SARL,LU
8124100000,2019-09-17,1118002470,KR,40,"7074,33",Y0,EUR,Bâloise Assurances Luxembourg SA,Luxembourg
8124100000,2019-11-04,1118002996,KR,40,"-242,54",Y0,EUR,Bâloise Assurances Luxembourg SA,Luxembourg
8127900001,2019-08-12,1118002692,KR,40,"142,71",Y1,EUR,Nomura Bank (Luxembourg) SA,Luxembourg
8124200000,2019-06-01,1118002390,KR,40,"8,95",Y3,EUR,Seris Security SARL,Luxembourg
8124200000,2018-02-01,1118002397,KR,40,"-9,68",Y3,EUR,Seris Security SARL,Luxembourg
8124200000,2018-11-01,1118002404,KR,40,"-2,98",Y3,EUR,Seris Security SARL,Luxembourg
8124200000,2018-06-01,1118002410,KR,40,"-222,32",Y3,EUR,Seris Security SARL,Luxembourg
8124200000,2019-09-01,1118002605,KR,40,"544,43",Y3,EUR,Seris Security SARL,Luxembourg
8124200000,2017-06-01,1118003024,KR,40,"-519,72",Y3,EUR,Seris Security SARL,Luxembourg
8125100000,2019-12-31,1118003455,KG,50,"-572,26",V0,EUR,Groupe Oberweis SA,Luxembourg
8124200000,2019-04-30,1118001165,KR,40,"-291,1",V0,EUR,Seris Security SARL,Luxembourg
8124200000,2019-05-31,1118002436,KR,40,"610,74",V0,EUR,Seris Security SARL,Luxembourg
8124200000,2019-09-30,1118002988,KR,40,"204,48",V0,EUR,Seris Security SARL,Luxembourg
8127900008,2019-03-15,1118000659,KR,40,"475,7",Y1,EUR,Bati C SA,Luxembourg
8127900008,2019-04-17,1118000832,KR,40,"1184,85",Y1,EUR,Bati C SA,Luxembourg
8127900008,2019-07-01,1118002117,KR,40,"539,6",Y1,EUR,Bati C SA,Luxembourg
1930300000,2019-05-29,1118001195,KR,40,"-430,09",Y3,EUR,SES,Luxembourg
1930300000,2019-02-28,1118000320,KR,40,"-3690,51",V0,EUR,SES,Luxembourg
1930300000,2019-06-05,1118001310,KR,40,"-86,62",Y3,EUR,SES,Luxembourg
3530900000,2019-02-12,1118000239,KR,40,"-759,7",V0,EUR,Caritas-Jeunes et Familles ASBL,Luxembourg
3530900000,2019-07-04,1118001732,KR,40,"-954,24",V0,EUR,Caritas-Jeunes et Familles ASBL,Luxembourg
3530900000,2019-09-12,1118002244,KR,40,"-3060,1",V0,EUR,Caritas-Jeunes et Familles ASBL,Luxembourg
3530900000,2019-11-11,1118003153,KR,40,"-604,92",V0,EUR,Caritas-Jeunes et Familles ASBL,Luxembourg
9300100002,2019-03-13,1118001051,KR,70,"-342,22",Y5,EUR,Jost Group SA,Luxembourg
1930300000,2019-01-17,1118000142,KR,40,"-97,98",Y3,EUR,SES,Luxembourg
8124200000,2019-04-17,1118000912,KR,40,"-411,8",Y3,EUR,Seris Security SARL,Luxembourg
1930300000,2019-07-17,1118001578,KR,40,"-477,12",Y3,EUR,SES,Luxembourg
8126100000,2017-12-01,1118002622,KR,40,"-279,74",Y3,EUR,Dekabank Deutsche Girozentrale Luxembourg SA,Luxembourg
9300100002,2019-07-25,1118001702,KR,70,"-481,38",Y3,EUR,Jost Group SA,Luxembourg
9300100002,2019-11-25,1118003360,KR,70,"-222,94",Y3,EUR,Jost Group SA,Luxembourg
1930300000,2019-01-16,1118000145,KR,40,"-350,74",Y3,EUR,SES,Luxembourg
8125200000,2019-02-28,1118000555,KR,40,"-73,84",Y3,EUR,Lombard International Assurance SA,Luxembourg
1930300000,2019-04-01,1118000751,KR,40,"-322,34",Y3,EUR,SES,Luxembourg
8125200000,2019-04-30,1118001001,KR,40,"-170,4",Y3,EUR,Lombard International Assurance SA,Luxembourg
8125200000,2019-07-01,1118001530,KR,40,"-259,86",Y3,EUR,Lombard International Assurance SA,Luxembourg
8125200000,2019-07-31,1118001687,KR,40,"-129,56",Y3,EUR,Lombard International Assurance SA,Luxembourg
8127320000,2019-08-31,1118002483,KR,40,"385,39",Y3,EUR,Northern Trust Global Services SE,Luxembourg
8125200000,2019-10-01,1118002643,KR,40,"-107,92",Y3,EUR,Lombard International Assurance SA,Luxembourg
9300100002,2019-10-31,1118002999,KR,70,"352,22",Y3,EUR,Jost Group SA,Luxembourg
8125200000,2019-11-30,1118003276,KR,40,"-7472,89",Y3,EUR,Lombard International Assurance SA,Luxembourg
8122200000,2019-04-21,1118001558,KR,40,"-267,4",Y1,,Syndicat des Tramways Intercommunaux dans le Canton d'Esch,LU
8126100001,2018-12-20,1118000122,KR,40,"-480,31",Y3,,Canon,DE
8126100000,2019-01-29,1118000228,KR,40,"435,94",Y5,,Dekabank Deutsche Girozentrale Luxembourg SA,Luxembourg
8126100001,2018-12-12,1118000359,KR,40,"140,52",Y3,,Canon,DE
8126100001,2019-02-26,1118000401,KR,40,"435,94",Y3,,Canon,DE
8126100001,2019-03-15,1118000653,KR,40,"168,63",Y5,,Canon,DE
8126100001,2019-04-09,1118000833,KR,40,"672,6",Y5,,Canon,DE
8126100000,2019-05-13,1118000996,KR,40,"-178,92",Y3,,Dekabank Deutsche Girozentrale Luxembourg SA,Luxembourg
8126100001,2019-04-30,1118000999,KR,40,"-2385,6",Y5,,Canon,DE
8126100001,2019-05-23,1118001241,KR,40,"-363,95",Y5,,Canon,DE
8126100000,2019-06-28,1118001391,KR,40,"363,95",Y3,EUR,Dekabank Deutsche Girozentrale Luxembourg SA,Luxembourg
8126100001,2019-06-14,1118001602,KR,40,"-363,95",Y3,EUR,Canon,DE
8126100001,2019-07-24,1118001609,KR,40,"2715,04",Y3,EUR,Canon,DE
8126100001,2019-07-17,1118001614,KR,40,"435,94",Y3,EUR,Canon,DE
8126100000,2019-08-15,1118002101,KR,40,"81573,32",Y3,EUR,Dekabank Deutsche Girozentrale Luxembourg SA,Luxembourg
8126100001,2019-08-30,1118002112,KR,40,"-599,24",Y5,EUR,Canon,DE
8126100001,2019-08-15,1118002625,KR,40,"-2181,12",YB,EUR,Canon,DE
8126100001,2019-11-29,1118003094,KR,40,"-86,62",Y3,EUR,Canon,DE
8126100000,2019-11-29,1118003094,KR,40,"-664,56",Y3,EUR,Dekabank Deutsche Girozentrale Luxembourg SA,Luxembourg
8126100001,2019-10-23,1118003462,KR,40,"-629,06",Y3,EUR,Canon,DE
8127140000,2019-01-31,1118000711,KR,40,"-549,54",Y1,EUR,Tralux SARL,luxebmourg
8127200000,2019-12-04,1118003288,KR,40,"-242,82",Y1,EUR,Groupe Soludec,lux
1930300000,2019-03-28,1118000661,KR,40,-355.00,V0,EUR,SES,Luxembourg
8121200002,2018-03-31,1118000076,KR,40,"-194,54",V0,EUR,Computer Task Group Luxembourg PSF SA,Luxembourg
8113000004,2018-12-10,1118000217,KR,40,"-292,52",V0,EUR,EFA European Fund Administration SA,Luxembourg
1930300000,2019-02-10,1118000362,KR,40,"-282,58",V0,EUR,SES,Luxembourg
1930300000,2019-03-10,1118000561,KR,40,"-481,38",V0,EUR,SES,Luxembourg
8113000004,2019-04-03,1118000774,KR,40,"-245,75",Y1,EUR,EFA European Fund Administration SA,Luxembourg
8121200002,2018-03-31,1118000872,KR,50,"-979,8",V0,EUR,Computer Task Group Luxembourg PSF SA,Luxembourg
8127200000,2018-10-05,1118000885,KR,50,"472,58",Y1,EUR,Groupe Soludec,lux
8113000004,2019-05-10,1118001121,KR,40,"1215,34",V0,EUR,EFA European Fund Administration SA,Luxembourg
8113000004,2019-07-15,1118001555,KR,40,"353,01",V0,EUR,EFA European Fund Administration SA,Luxembourg
8113000004,2019-08-10,1118002122,KG,50,"419,87",V0,EUR,EFA European Fund Administration SA,Luxembourg
